63899,Grindr,jQuery,libraries
63899,Grindr,Kotlin,languages
63899,Grindr,MySQL,databases
63899,Grindr,Node.js,frameworks
63899,Grindr,PostgreSQL,databases
63899,Grindr,Python,languages
63899,Grindr,React,libraries
63899,Grindr,Redis,databases
63899,Grindr,Scala,languages
63899,Grindr,SQL,languages
63899,Grindr,Swift,languages
63899,Grindr,TypeScript,languages
63911,Harry's Inc.,Java,languages
63911,Harry's Inc.,JavaScript,languages
63911,Harry's Inc.,Play,frameworks
63911,Harry's Inc.,PostgreSQL,databases
63911,Harry's Inc.,Python,languages
63911,Harry's Inc.,React,libraries
63911,Harry's Inc.,Redis,databases
63911,Harry's Inc.,Redux,libraries
63911,Harry's Inc.,Ruby,languages
63911,Harry's Inc.,Ruby on Rails,frameworks
63911,Harry's Inc.,Scala,languages
63911,Harry's Inc.,Spring,frameworks
63949,Hotel Engine,JavaScript,languages
63949,Hotel Engine,jQuery,libraries
63949,Hotel Engine,Node.js,frameworks
63949,Hotel Engine,PostgreSQL,databases
63949,Hotel Engine,React,libraries
63949,Hotel Engine,Redis,databases
63949,Hotel Engine,Redux,libraries
63949,Hotel Engine,Ruby,languages
63949,Hotel Engine,Ruby on Rails,frameworks
63971,iCapital,JavaScript,languages
63971,iCapital,Node.js,frameworks
63971,iCapital,Python,languages
63971,iCapital,React,libraries
63971,iCapital,Ruby,languages
63971,iCapital,Ruby on Rails,frameworks
64008,InterSystems,ASP.NET,frameworks
64008,InterSystems,C#,languages
64008,InterSystems,C++,languages
64008,InterSystems,Hadoop,frameworks
64008,InterSystems,Hive,databases
64008,InterSystems,Java,languages
64008,InterSystems,JavaScript,languages
64008,InterSystems,jQuery,libraries
64008,InterSystems,Jupyter,frameworks
64008,InterSystems,Node.js,frameworks
64008,InterSystems,Perl,languages
64008,InterSystems,Python,languages
64008,InterSystems,R,languages
64008,InterSystems,React,libraries
64008,InterSystems,Ruby,languages
64008,InterSystems,Spark,frameworks
64008,InterSystems,TensorFlow,frameworks
64014,Iodine Software,Angular,frameworks
64014,Iodine Software,Angular.js,frameworks
64014,Iodine Software,AWS (Amazon Web Services),services
64014,Iodine Software,C#,languages
64014,Iodine Software,C++,languages
64014,Iodine Software,Cypress,frameworks
64014,Iodine Software,Express,frameworks
64014,Iodine Software,Flask,frameworks
64014,Iodine Software,Java,languages
64014,Iodine Software,JavaScript,languages
64014,Iodine Software,jQuery,libraries
64014,Iodine Software,Kafka,frameworks
64014,Iodine Software,Kubernetes,frameworks
64014,Iodine Software,Microsoft Azure,services
64014,Iodine Software,Node.js,frameworks
64014,Iodine Software,PostgreSQL,databases
64014,Iodine Software,Python,languages
64014,Iodine Software,R,languages
